0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Pilvägen 58,1500000.0,Price per square meter:  31 513 kr/m²,Starting price: 1575000,Price trend:  -75 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 47.6,Balcony:  Ja,Year built: 1970,Fee:  3 343 kr/mån,Driftskostnad:  4 416 kr/år,Number of visits: 1089,,,
Västgötaresan 73A,1550000.0,Price per square meter:  18 675 kr/m²,Starting price: 1495000,Price trend:  +55 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 83,Balcony:  Nej,"Floor:  1 av 2, hiss finns ej",Year built: 1990,Fee:  6 885 kr/mån,Number of visits: 1456,,,
Rindögatan 40,10000000.0,Price per square meter:  116 279 kr/m²,Starting price: 10495000,Price trend:  -495 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 86,Balcony:  Ja,"Floor:  4 av 5, hiss finns",Year built: 1938,Fee:  5 783 kr/mån,Number of visits: 7695,,,
Vickergatan 9,3725000.0,Price per square meter:  90 854 kr/m²,Starting price: 3595000,Price trend:  +130 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 41,Balcony:  Nej,"Floor:  2 av 3, hiss finns ej",Year built: 1938,Fee:  2 592 kr/mån,Driftskostnad:  3 600 kr/år,Number of visits: 2354,,
Marieviksgatan 42,6300000.0,Price per square meter:  72 414 kr/m²,Starting price: 5995000,Price trend:  +305 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 87,Balcony:  Ja,"Floor:  3, hiss finns",Year built: 2010,Fee:  4 836 kr/mån,Driftskostnad:  7 800 kr/år,Number of visits: 4776,,
Stenbrohultsvägen 105,1295000.0,Price per square meter:  16 188 kr/m²,Starting price: 1295000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 80,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 5, hiss finns",Year built: 1992,Fee:  7 640 kr/mån,Number of visits: 702,,
Blockstensgatan 22,850000.0,Price per square meter:  12 593 kr/m²,Starting price: 895000,Price trend:  -45 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 67.5,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1968,Fee:  4 962 kr/mån,Driftskostnad:  5 400 kr/år,Number of visits: 403,,
Barkvägen 189B,1270000.0,Price per square meter:  12 637 kr/m²,Starting price: 1250000,Price trend:  +20 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 100.5,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 1979,Fee:  6 055 kr/mån,Driftskostnad:  5 640 kr/år,Number of visits: 784,,
Källtorpsvägen 98,1895000.0,Price per square meter:  34 455 kr/m²,Starting price: 1895000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2.5,Living area: 55,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 1998,Fee:  3 822 kr/mån,Driftskostnad:  7 600 kr/år,Number of visits: 5044,,
"Primusgatan 60, 5tr",8200000.0,Price per square meter:  105 128 kr/m²,Starting price: 7695000,Price trend:  +505 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 78,Balcony:  Ja,"Floor:  5 av 8, hiss finns",Year built: 2005,Fee:  5 654 kr/mån,Driftskostnad:  7 500 kr/år,Number of visits: 2708,,
Jakob Persvägen 1,1195000.0,Price per square meter:  16 597 kr/m²,Starting price: 1195000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 72,Balcony:  Ja,"Floor:  1 av 4, hiss finns",Year built: 1955,Fee:  6 501 kr/mån,Driftskostnad:  8 863 kr/år,Number of visits: 938,,
Klas Klättermus Gata 3,3425000.0,Price per square meter:  50 368 kr/m²,Starting price: 3295000,Price trend:  +130 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 68,Balcony:  Ja,Year built: 2012,Fee:  3 589 kr/mån,Number of visits: 818,,,,
Bruksparken 4,1875000.0,Price per square meter:  22 059 kr/m²,Starting price: 1950000,Price trend:  -75 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 85,"Floor:  3 av 4, hiss finns",Year built: 1995,Fee:  7 475 kr/mån,Driftskostnad:  7 248 kr/år,Number of visits: 853,,,
Järfällavägen 92a,2995000.0,Price per square meter:  33 278 kr/m²,Starting price: 2995000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 90,"Floor:  2 av 5, hiss finns",Year built: 2019,Fee:  6 219 kr/mån,Number of visits: 3423,,,,
"Artillerigatan 87, 5 Tr",4250000.0,Price per square meter:  126 866 kr/m²,Starting price: 3795000,Price trend:  +455 000 kr (+12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 33.5,Balcony:  Ja,"Floor:  5 av 5, hiss finns",Year built: 1937,Fee:  2 816 kr/mån,Number of visits: 1946,,,
Vedevågslingan 28,1870000.0,Price per square meter:  32 807 kr/m²,Starting price: 1550000,Price trend:  +320 000 kr (+21 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 57,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1958,Fee:  3 418 kr/mån,Number of visits: 3265,,,
Armégatan 36 F,2670000.0,Price per square meter:  72 162 kr/m²,Starting price: 2395000,Price trend:  +275 000 kr (+11 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 37,Balcony:  Ja,"Floor:  1 av 10, hiss finns",Year built: 2016,Fee:  3 221 kr/mån,Number of visits: 3034,,,
Norra Storgatan 3M,755000.0,Price per square meter:  10 559 kr/m²,Starting price: 795000,Price trend:  -40 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 71.5,Balcony:  Ja,Floor:  2 av 3,Year built: 1964,Fee:  5 949 kr/mån,Driftskostnad:  11 784 kr/år,Number of visits: 1502,,
Polhemsgatan 18b,6325000.0,Price per square meter:  119 340 kr/m²,Starting price: 5750000,Price trend:  +575 000 kr (+10 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 53,Balcony:  Ja,"Floor:  1,5 av 4, hiss finns",Year built: 1930,Fee:  3 379 kr/mån,Number of visits: 2600,,,
"Folkungagatan 83, 3 tr",7600000.0,Price per square meter:  124 590 kr/m²,Starting price: 6995000,Price trend:  +605 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 61,Balcony:  Ja,"Floor:  3 av 6, hiss finns",Fee:  3 623 kr/mån,Number of visits: 2270,,,,
"Sundbybergs Torg 1J, vån 10/12",7250000.0,Price per square meter:  77 957 kr/m²,Starting price: 6895000,Price trend:  +355 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 93,Balcony:  Ja,"Floor:  10 av 12, hiss finns",Year built: 2013,Fee:  5 504 kr/mån,Number of visits: 2464,,,
Spegelbacken 46 A,2565000.0,Price per square meter:  31 091 kr/m²,Starting price: 2500000,Price trend:  +65 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 82.5,Balcony:  Ja,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 1990,Fee:  8 391 kr/mån,Driftskostnad:  6 200 kr/år,Number of visits: 1437,
Melofonstigen 7,1400000.0,Price per square meter:  18 065 kr/m²,Starting price: 1450000,Price trend:  -50 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 77.5,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 1984,Fee:  5 353 kr/mån,Driftskostnad:  7 200 kr/år,Number of visits: 3850,,
"Harpsundsvägen 141, våning 3 av 3!",2430000.0,Price per square meter:  39 512 kr/m²,Starting price: 1995000,Price trend:  +435 000 kr (+22 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 61.5,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1955,Fee:  3 980 kr/mån,Driftskostnad:  2 400 kr/år,Number of visits: 2379,,
Birkagatan 21B,4465000.0,Price per square meter:  131 324 kr/m²,Starting price: 3595000,Price trend:  +870 000 kr (+24 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 34,Balcony:  Nej,"Floor:  1 av 5, hiss finns",Year built: 1905,Fee:  1 603 kr/mån,Driftskostnad:  5 484 kr/år,Number of visits: 3976,,
Assessorsgatan 18 B,10550000.0,Price per square meter:  121 264 kr/m²,Starting price: 7995000,Price trend:  +2 555 000 kr (+32 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 87,Balcony:  Ja,"Floor:  2, hiss finns",Year built: 1929,Fee:  3 675 kr/mån,Driftskostnad:  7 767 kr/år,Number of visits: 8441,,
AXEL OXENSTIERNAS GATA 38,640000.0,Price per square meter:  8 205 kr/m²,Starting price: 795000,Price trend:  -155 000 kr (-19 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 78,Balcony:  Ja,Floor:  2 av 3,Year built: 1970,Fee:  5 276 kr/mån,Number of visits: 3240,,,
Hovsdalsvägen 11,2400000.0,Price per square meter:  21 333 kr/m²,Starting price: 2400000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 5,Living area: 112.5,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 2018,Fee:  5 680 kr/mån,Driftskostnad:  20 316 kr/år,Number of visits: 1742,
"Kungsgatan 90, 5tr",7500000.0,Price per square meter:  127 119 kr/m²,Starting price: 7650000,Price trend:  -150 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59,Balcony:  Ja,"Floor:  5 av 6, hiss finns",Year built: 1898,Fee:  3 256 kr/mån,Driftskostnad:  8 700 kr/år,Number of visits: 2399,,
Södermannagatan 64,6000000.0,Price per square meter:  100 840 kr/m²,Starting price: 4950000,Price trend:  +1 050 000 kr (+21 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2.5,Living area: 59.5,Balcony:  Ja,"Floor:  4, hiss finns",Year built: 1974,Fee:  4 240 kr/mån,Number of visits: 3968,,,
Mors backe 1,5100000.0,Price per square meter:  57 955 kr/m²,Starting price: 4695000,Price trend:  +405 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2.5,Living area: 88,Balcony:  Nej,Uteplats:  Ja,"Floor:  -1 av 5, hiss finns",Year built: 2004,Fee:  4 945 kr/mån,Driftskostnad:  5 448 kr/år,Number of visits: 3169,
Gulmårastigen 4C,1720000.0,Price per square meter:  17 286 kr/m²,Starting price: 1795000,Price trend:  -75 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 99.5,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1952,Fee:  5 373 kr/mån,Driftskostnad:  22 140 kr/år,Number of visits: 2272,,
Färgargårdstorget 52,8800000.0,Price per square meter:  102 326 kr/m²,Starting price: 8495000,Price trend:  +305 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 86,Balcony:  Ja,"Floor:  5 av 5, hiss finns",Year built: 1981,Fee:  4 720 kr/mån,Driftskostnad:  7 440 kr/år,Number of visits: 10124,,
Hunnebergsvägen 13,3600000.0,Price per square meter:  70 588 kr/m²,Starting price: 3495000,Price trend:  +105 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 51,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1935,Fee:  4 770 kr/mån,Driftskostnad:  7 620 kr/år,Number of visits: 6509,,
Krukmakargatan 61,4500000.0,Price per square meter:  93 750 kr/m²,Starting price: 4295000,Price trend:  +205 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 48,Balcony:  Ja,"Floor:  -1 av 3, hiss finns ej",Year built: 1942,Fee:  3 124 kr/mån,Driftskostnad:  13 077 kr/år,Number of visits: 3404,,
Björcksgatan 62C,2150000.0,Price per square meter:  59 722 kr/m²,Starting price: 2295000,Price trend:  -145 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 36,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1937,Fee:  2 257 kr/mån,Number of visits: 1460,,,
Olai Kyrkogata 15b,2750000.0,Price per square meter:  27 363 kr/m²,Starting price: 2995000,Price trend:  -245 000 kr (-8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 100.5,Uteplats:  Ja,"Floor:  2 av 5, hiss finns",Year built: 1986,Fee:  6 774 kr/mån,Driftskostnad:  2 400 kr/år,Number of visits: 1714,,
Paternostervägen 30,3705000.0,Price per square meter:  62 797 kr/m²,Starting price: 3295000,Price trend:  +410 000 kr (+12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1950,Fee:  3 994 kr/mån,Driftskostnad:  9 477 kr/år,Number of visits: 2151,,
Linnégatan 74,3300000.0,Price per square meter:  60 000 kr/m²,Starting price: 3425000,Price trend:  -125 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 55,Balcony:  Nej,"Floor:  5 av 8, hiss finns",Year built: 1985,Fee:  3 816 kr/mån,Driftskostnad:  8 160 kr/år,Number of visits: 9589,,
Alströmergatan 32 H,4895000.0,Price per square meter:  106 413 kr/m²,Starting price: 4995000,Price trend:  -100 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 46,Balcony:  Ja,"Floor:  0,5 av 5, hiss finns ej",Year built: 1929,Fee:  2 854 kr/mån,Driftskostnad:  10 068 kr/år,Number of visits: 2668,,
Sparbanksvägen 66,3395000.0,Price per square meter:  60 625 kr/m²,Starting price: 3395000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 56,Balcony:  Ja,Floor:  1 av 3,Year built: 1945,Fee:  4 196 kr/mån,Driftskostnad:  8 040 kr/år,Number of visits: 2697,,
Fleminggatan 27D,1400000.0,Price per square meter:  25 000 kr/m²,Starting price: 1425000,Price trend:  -25 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1962,Fee:  2 602 kr/mån,Driftskostnad:  3 094 kr/år,Number of visits: 5980,,
Infanterigatan 19,2525000.0,Price per square meter:  47 196 kr/m²,Starting price: 2645000,Price trend:  -120 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 53.5,Balcony:  Nej,Year built: 1962,Fee:  3 277 kr/mån,Driftskostnad:  8 000 kr/år,Number of visits: 2366,,,
Sixten Camps gata 4,4575000.0,Price per square meter:  51 404 kr/m²,Starting price: 4750000,Price trend:  -175 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 89,Balcony:  Ja,"Floor:  4 av 6, hiss finns",Year built: 2008,Fee:  5 723 kr/mån,Driftskostnad:  8 160 kr/år,Number of visits: 4389,,
Ingelundsvägen 4 B,2345000.0,Price per square meter:  28 287 kr/m²,Starting price: 2495000,Price trend:  -150 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 82.9,Balcony:  Ja,"Floor:  3 av 3, hiss finns",Year built: 2020,Fee:  6 489 kr/mån,Driftskostnad:  15 024 kr/år,Number of visits: 6753,,
Erik Tegels Väg 29,1550000.0,Price per square meter:  41 333 kr/m²,Starting price: 1495000,Price trend:  +55 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 37.5,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1961,Fee:  3 079 kr/mån,Driftskostnad:  3 000 kr/år,Number of visits: 2978,,
Backgränd 2C,250000.0,Price per square meter:  4 950 kr/m²,Starting price: 250000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 50.5,Balcony:  Nej,"Floor:  2 av 3, hiss finns ej",Year built: 1957,Fee:  3 611 kr/mån,Driftskostnad:  4 200 kr/år,Number of visits: 961,,
Barnhemsgatan 18,1755000.0,Price per square meter:  51 618 kr/m²,Starting price: 1895000,Price trend:  -140 000 kr (-7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 34,Balcony:  Nej,"Floor:  13 av 13, hiss finns",Year built: 2018,Fee:  4 081 kr/mån,Driftskostnad:  7 572 kr/år,Number of visits: 1583,,
Katarina Bangata 50,7710000.0,Price per square meter:  129 580 kr/m²,Starting price: 5950000,Price trend:  +1 760 000 kr (+30 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59.5,Balcony:  Nej,"Floor:  3 av 5, hiss finns",Year built: 1905,Fee:  3 832 kr/mån,Driftskostnad:  5 268 kr/år,Number of visits: 3779,,
Valutavägen 66D,7850000.0,Price per square meter:  75 481 kr/m²,Starting price: 6895000,Price trend:  +955 000 kr (+14 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 104,Balcony:  Ja,"Floor:  5 av 5, hiss finns",Year built: 2007,Fee:  7 365 kr/mån,Driftskostnad:  8 040 kr/år,Number of visits: 2198,,
Ernst Ahlgrensgatan 4A,5000000.0,Price per square meter:  52 083 kr/m²,Starting price: 4995000,Price trend:  +5 000 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 96,Balcony:  Ja,"Floor:  5 av 7, hiss finns",Year built: 1953,Fee:  5 487 kr/mån,Number of visits: 2483,,,
Solvändan 11D,2080000.0,Price per square meter:  46 222 kr/m²,Starting price: 2195000,Price trend:  -115 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 45,Balcony:  Ja,"Floor:  4 av 5, hiss finns",Year built: 2021,Fee:  3 416 kr/mån,Number of visits: 769,,,
Nordhemsgatan 72A,4950000.0,Price per square meter:  77 344 kr/m²,Starting price: 4750000,Price trend:  +200 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 64,Balcony:  Ja,"Floor:  2 av 5, hiss finns ej",Year built: 1905,Fee:  4 455 kr/mån,Driftskostnad:  3 000 kr/år,Number of visits: 1771,,
Ölandsresan 130,2940000.0,Price per square meter:  25 128 kr/m²,Starting price: 2695000,Price trend:  +245 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 5,Living area: 117,Balcony:  Ja,Uteplats:  Ja,Year built: 1987,Fee:  8 078 kr/mån,Driftskostnad:  9 000 kr/år,Number of visits: 1171,,
Kanslivägen 32,1975000.0,Price per square meter:  39 500 kr/m²,Starting price: 1995000,Price trend:  -20 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 50,Balcony:  Nej,Uteplats:  Ja,Year built: 2014,Fee:  3 708 kr/mån,Number of visits: 467,,,
Träslövsvägen 171 J,2825000.0,Price per square meter:  35 093 kr/m²,Starting price: 2975000,Price trend:  -150 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 80.5,Balcony:  Ja,"Floor:  2 av 5, hiss finns",Year built: 2021,Fee:  4 039 kr/mån,Driftskostnad:  11 804 kr/år,Number of visits: 2133,,
"Göran Perssons Väg 7, vån 4/4!",2450000.0,Price per square meter:  55 682 kr/m²,Starting price: 2295000,Price trend:  +155 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 44,Balcony:  Nej,"Floor:  4 av 4, hiss finns",Year built: 1969,Fee:  3 054 kr/mån,Number of visits: 588,,,
Fornhöjdsvägen 16,1600000.0,Price per square meter:  21 477 kr/m²,Starting price: 1795000,Price trend:  -195 000 kr (-11 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 74.5,Balcony:  Ja,"Floor:  3 av 6, hiss finns",Year built: 1972,Fee:  4 595 kr/mån,Driftskostnad:  5 500 kr/år,Number of visits: 3905,,
Älvans väg 224,2100000.0,Price per square meter:  18 667 kr/m²,Starting price: 2195000,Price trend:  -95 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 112.5,Balcony:  Nej,Uteplats:  Ja,"Floor:  1, hiss finns ej",Year built: 1992,Fee:  8 372 kr/mån,Driftskostnad:  2 400 kr/år,Number of visits: 2401,
Solistgatan 4A,1350000.0,Price per square meter:  28 125 kr/m²,Starting price: 1395000,Price trend:  -45 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 48,Balcony:  Nej,Uteplats:  Ja,"Floor:  1, hiss finns ej",Year built: 2001,Fee:  4 946 kr/mån,Number of visits: 702,,
Paletåvägen 64,1425000.0,Price per square meter:  21 591 kr/m²,Starting price: 1450000,Price trend:  -25 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 66,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 1990,Fee:  4 942 kr/mån,Driftskostnad:  3 600 kr/år,Number of visits: 2796,,
Gransikagatan 4A,2000000.0,Price per square meter:  19 802 kr/m²,Starting price: 1695000,Price trend:  +305 000 kr (+18 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 101,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1969,Fee:  6 320 kr/mån,Driftskostnad:  6 600 kr/år,Number of visits: 1339,,
Timmermansgatan 12,9600000.0,Price per square meter:  89 720 kr/m²,Starting price: 8495000,Price trend:  +1 105 000 kr (+13 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 107,Balcony:  Nej,Uteplats:  Ja,Fee:  3 909 kr/mån,Driftskostnad:  6 864 kr/år,Number of visits: 9830,,,
Sadelmakarebyn 7B,1545000.0,Price per square meter:  22 071 kr/m²,Starting price: 1595000,Price trend:  -50 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 70,Balcony:  Nej,Uteplats:  Ja,"Floor:  2, hiss finns",Fee:  7 266 kr/mån,Driftskostnad:  6 000 kr/år,Number of visits: 3209,,
"Eskadervägen 26, 5tr",2100000.0,Price per square meter:  34 711 kr/m²,Starting price: 2195000,Price trend:  -95 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 60.5,Balcony:  Nej,"Floor:  5 av 8, hiss finns",Year built: 1959,Fee:  3 708 kr/mån,Driftskostnad:  5 000 kr/år,Number of visits: 1002,,
"Halsjärnsgatan 4, Visby",1850000.0,Price per square meter:  28 906 kr/m²,Starting price: 1950000,Price trend:  -100 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 64,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1964,Fee:  4 372 kr/mån,Driftskostnad:  7 313 kr/år,Number of visits: 1424,,
Lindevägen 44,3200000.0,Price per square meter:  51 613 kr/m²,Starting price: 2995000,Price trend:  +205 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 62,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 1989,Fee:  4 812 kr/mån,Driftskostnad:  5 904 kr/år,Number of visits: 1789,,
Astris Gata 58,3550000.0,Price per square meter:  50 714 kr/m²,Starting price: 3595000,Price trend:  -45 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 70,Balcony:  Ja,"Floor:  2 av 4, hiss finns",Year built: 2013,Fee:  3 669 kr/mån,Driftskostnad:  8 004 kr/år,Number of visits: 2268,,
Solskensvägen 13,2100000.0,Price per square meter:  22 340 kr/m²,Starting price: 2395000,Price trend:  -295 000 kr (-12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 94,Balcony:  Ja,"Floor:  4 av 6, hiss finns",Year built: 1982,Fee:  7 372 kr/mån,Driftskostnad:  7 800 kr/år,Number of visits: 4152,,
Fyrhögagatan 69,950000.0,Price per square meter:  12 338 kr/m²,Starting price: 995000,Price trend:  -45 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 77,Uteplats:  Ja,Floor:  1 av 1,Year built: 1990,Fee:  7 418 kr/mån,Driftskostnad:  21 818 kr/år,Number of visits: 6035,,
Nytorpsvägen 46,2475000.0,Price per square meter:  45 000 kr/m²,Starting price: 2495000,Price trend:  -20 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 55,Balcony:  Nej,Uteplats:  Ja,Year built: 2015,Fee:  3 745 kr/mån,Driftskostnad:  4 800 kr/år,Number of visits: 2194,,
Bergskroken 10,3625000.0,Price per square meter:  59 426 kr/m²,Starting price: 3650000,Price trend:  -25 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 61,Balcony:  Ja,"Floor:  5 av 8, hiss finns",Year built: 2019,Fee:  4 650 kr/mån,Driftskostnad:  8 400 kr/år,Number of visits: 1097,,
Nordenskiöldsgatan 5B,4350000.0,Price per square meter:  50 877 kr/m²,Starting price: 4295000,Price trend:  +55 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 85.5,Balcony:  Ja,"Floor:  4, hiss finns",Year built: 2020,Fee:  5 549 kr/mån,Driftskostnad:  12 650 kr/år,Number of visits: 1159,,
Aprilgatan 12B,5700000.0,Price per square meter:  95 000 kr/m²,Starting price: 5495000,Price trend:  +205 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 60,Balcony:  Nej,"Floor:  1 av 3, hiss finns ej",Year built: 1910,Fee:  3 101 kr/mån,Driftskostnad:  5 720 kr/år,Number of visits: 2002,,
